,Unnamed: 0,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
15809,15809,13436258,One Bedroom Apartment  in TownHouse,5944946,Nicole,Bronx,Concourse,40.81949,-73.92913,Entire home/apt,99,1,115,2019-11-20,2.81,1,0
22634,22635,19626464,Beautiful and tidy room at Time Square location,34689714,Maria,Manhattan,Hell's Kitchen,40.76591,-73.98716999999998,Private room,99,1,105,2019-12-05,3.59,5,355
41806,41816,35768373,Entire Luxurious Spacious Studio! NYC!,41829977,Pasang,Queens,Elmhurst,40.74638,-73.87353,Private room,99,1,9,2019-10-06,1.68,2,170
30693,30703,26352984,Quiet place w/ private bathroom,27355064,Marine,Brooklyn,Crown Heights,40.67508,-73.91788000000003,Private room,99,1,22,2019-10-06,1.31,1,93
20888,20888,18170615,Private room/Columbia/Central park,75810157,Antong,Manhattan,Morningside Heights,40.80416,-73.96538000000002,Private room,99,4,3,2017-06-29,0.1,1,0
1761,1761,834190,Manhattan Lux Loft.Like.Love.Lots.Look !,2369681,Carol,Manhattan,Lower East Side,40.71921,-73.99116,Private room,99,1,580,2019-12-05,7.01,1,0
33285,33295,28940723,Traveler Friendly Brooklyn Apartment w Backyard!!!,146339341,Dylan,Brooklyn,Williamsburg,40.71172,-73.94556,Private room,99,1,3,2018-10-27,0.22,1,0
32829,32839,28452001,Cozy Private Bedroom Near Times Square 31C1,190921808,John,Manhattan,Hell's Kitchen,40.75417,-73.99578000000002,Private room,99,1,5,2019-06-12,0.37,48,354
29907,29917,25426171,Room w/ Private Entrance-Hudson Yards NYC! - 32C,190921808,John,Manhattan,Hell's Kitchen,40.7551,-73.99651,Private room,99,1,11,2019-07-28,0.74,48,350
1732,1732,820953,Entire Apt Yours! (5 Night Minimum),4105474,Amanda,Brooklyn,Greenpoint,40.72166,-73.94037,Entire home/apt,99,7,11,2019-07-14,0.13,1,111
20882,20882,18159825,"NYC4YOU  
Great location!!!",23187808,Theodore,Queens,Ditmars Steinway,40.77412,-73.9061,Entire home/apt,99,1,103,2019-11-17,3.2,1,0
27705,27715,23062475,"Spacious, Bright Studio Apt in East Village",8108429,Anna,Manhattan,East Village,40.72998,-73.9839,Entire home/apt,99,2,15,2019-06-23,0.69,1,0
49509,49525,40181255,Beautifully Redone 2 Bedroom 6 Min Walk to Subway,236178892,Eli,Brooklyn,Crown Heights,40.66502,-73.92787,Entire home/apt,99,2,1,2019-12-01,1.0,2,142
41514,41524,35570396,⭐Big Room (up to 3 people)⭐,166984137,Piergiorgio,Manhattan,Harlem,40.8129,-73.94391,Private room,99,1,2,2019-08-31,0.54,1,340
20187,20187,17380887,Prime Williamsburg Location! 10 min from Manhattan,32405588,Marco,Brooklyn,Williamsburg,40.71059,-73.96002,Private room,99,3,57,2019-11-29,1.7,2,141
1821,1821,851784,Designer's spacious Manhattan apt.,4446767,Ks & Eli,Manhattan,Washington Heights,40.85016,-73.93178,Entire home/apt,99,3,126,2019-11-28,1.59,1,307
17295,17295,14547982,Modern Room with private bathroom in spacious apt,27427335,Tyler,Brooklyn,Greenpoint,40.71937,-73.95331999999998,Private room,99,3,3,2017-10-28,0.1,1,0
30052,30062,25610763,Large Room In New York City - Best Location - 43D4,190921808,John,Manhattan,Hell's Kitchen,40.7551,-73.99674,Private room,99,1,4,2019-10-20,0.37,48,344
13120,13120,10612564,Apartment share near Lincoln Center,54763152,Mary Sue,Manhattan,Upper West Side,40.77929,-73.98513,Private room,99,4,76,2019-11-12,1.62,1,69
36870,36880,31654063,"❤️Private-Keyed Room #3 ⚡Desk, closet, & King Bed!",237336458,Thomas,Manhattan,Chelsea,40.73783,-73.99775,Private room,99,20,13,2019-10-01,1.21,7,87
